Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitotic prometaphase	1/43	0.21812455753172316	1.0	0	0	4.079967360261118	6.212521479132445	NUDC
Polo-like kinase 1 (PLK1) pathway	1/46	0.23144768738022192	1.0	0	0	3.8138825324180012	5.5812410504619105	NUDC
M phase pathway	1/96	0.4230938271753206	1.0	0	0	1.8274853801169588	1.5719322201747623	NUDC
DNA replication	1/207	0.6956041679521414	1.0	0	0	0.8475294516484447	0.3076315828793677	NUDC
Cell cycle	1/453	0.9271433904916786	1.0	0	0	0.38728166995856084	0.02929671317098867	NUDC
