Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	1/7	0.17349377314636008	1.0	0	0	5.3205639797818565	9.319572066430494	COQ5
Riboflavin metabolism	1/16	0.35314785203064825	1.0	0	0	2.3277467411545625	2.4228781784454463	ACPP
Wnt interactions in lipid metabolism and immune response	1/45	0.706574561721435	1.0	0	0	0.8276432857438445	0.28746248348062614	PEPD
Interleukin-1 regulation of extracellular matrix	1/120	0.9622166455595711	1.0	0	0	0.31036623215394166	0.011953957289418449	ACPP
FSH regulation of apoptosis	1/263	0.9992550301117388	1.0	0	0	0.14161196904362358	1.055359681967808E-4	ACPP
Metabolism	1/1615	0.9999947360482372	1.0	0	0	0.02306126802382229	1.2139372197232654E-7	COQ5
