database_id	genome_size	CDS	rRNA	repeat_region	tRNA
floricoccus_00001	2049722	2038	5	52
lactococcus_00001	2223617	2145	2	36
floricoccus_00002	2157756	2183	6	54
lactococcus_00002	2280761	2381	7	47
lactococcus_00003	2405003	2338	3	39
lactococcus_00004	2435575	2625	6	62
lactococcus_00005	2169598	2099	4	46
lactococcus_00006	2214941	2150	4	38
lactococcus_00007	2243208	2171	10	47
lactococcus_00008	2432058	2298	16	53
lactococcus_00009	1989201	1858	3	30
lactococcus_00010	2575082	2582	8	54
lactococcus_00011	2516173	2496	8	55
lactococcus_00012	2503066	2472	13	55
lactococcus_00013	2014328	1990	3	37
lactococcus_00014	2244387	2232	4	50
lactococcus_00015	2028352	1992	4	47
lactococcus_00016	2393955	2468	6	52
lactococcus_00017	2000149	1950	5	55
lactococcus_00018	2498465	2542	6	53
lactococcus_00019	2639112	2745	20	62
lactococcus_00020	2634132	2666	16	57
lactococcus_00021	2545792	2569	4	52
lactococcus_00022	2598348	2714	20	62
lactococcus_00023	1932107	1928	8	58
lactococcus_00024	1950135	1926	16	62
lactococcus_00025	1963964	1948	16	62
lactococcus_00026	2509249	2512	19	62
lactococcus_00027	2850353	2861	16	63
lactococcus_00028	2591059	2620	8	55
lactococcus_00029	2574519	2492	6	57
lactococcus_00030	2305703	2175	4	52
lactococcus_00031	2679936	2491	19	55
lactococcus_00032	2573632	2595	8	55
lactococcus_00033	2547291	2503	10	53
lactococcus_00034	2535459	2448	19	63
lactococcus_00035	2445522	2367	7	57
lactococcus_00036	2542511	2693	12	62
lactococcus_00037	2707537	2724	7	57
lactococcus_00038	2367195	2440	6	52
lactococcus_00039	2801031	2808	7	52
lactococcus_00040	2346663	2232	19	66
lactococcus_00041	2381242	2284	5	52
lactococcus_00042	2576367	2500	8	54
lactococcus_00043	2674319	2616	7	55
lactococcus_00044	2753892	2738	19	61
lactococcus_00045	2421471	2285	19	64
lactococcus_00046	2485686	2493	6	51
lactococcus_00047	2260841	2252	6	52
