gene_number	group1	group2	group3	group4	group5	group6	group7	group8
gene_130	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	1.00000	
gene_131	1.00000	0.90744	1.00000	1.00000	1.00000	0.90674	1.00000	1.00000	
gene_132	1.00000	1.00000	1.00000	0.90090	1.00000	0.82938	1.00000	1.00000	
gene_133	1.00000	1.00000	1.00000	1.00000	0.90580	0.90674	1.00000	1.00000	
gene_134	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.90323	1.00000	
gene_135	1.00000	1.00000	1.00000	0.90090	1.00000	0.57532	1.00000	1.00000	
gene_136	1.00000	1.00000	0.72727	1.00000	1.00000	0.82938	1.00000	0.90498	
gene_137	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	0.90323	0.93895	
gene_138	1.00000	1.00000	1.00000	1.00000	0.82781	0.76419	1.00000	1.00000	
gene_139	1.00000	1.00000	1.00000	1.00000	1.00000	0.57532	1.00000	1.00000	
gene_140	1.00000	1.00000	1.00000	1.00000	0.82781	0.90674	1.00000	1.00000	
gene_141	0.73826	1.00000	1.00000	1.00000	1.00000	1.00000	0.90323	1.00000	
gene_142	1.00000	1.00000	1.00000	1.00000	0.82781	1.00000	1.00000	0.90498	
gene_143	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	0.82353	1.00000	
gene_144	0.90226	1.00000	1.00000	1.00000	0.90580	1.00000	1.00000	0.90498	
gene_145	1.00000	0.65952	1.00000	1.00000	1.00000	0.75893	0.90323	1.00000	
gene_146	1.00000	1.00000	1.00000	1.00000	1.00000	0.76419	1.00000	1.00000	
gene_147	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_148	1.00000	0.95465	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_149	1.00000	1.00000	1.00000	1.00000	1.00000	0.82938	1.00000	1.00000	
gene_150	0.90226	1.00000	1.00000	1.00000	0.82781	0.70398	1.00000	0.90498	
gene_151	1.00000	0.65952	1.00000	1.00000	1.00000	0.82938	0.90323	0.90498	
gene_152	1.00000	1.00000	1.00000	1.00000	0.90580	0.90674	1.00000	0.90498	
gene_153	1.00000	1.00000	1.00000	0.90090	0.90580	1.00000	1.00000	1.00000	
gene_154	1.00000	1.00000	0.90000	1.00000	0.90580	0.90674	1.00000	0.82645	
gene_155	1.00000	1.00000	0.72727	0.90090	1.00000	1.00000	1.00000	1.00000	
gene_156	1.00000	1.00000	1.00000	1.00000	0.82781	1.00000	0.74286	1.00000	
gene_157	1.00000	1.00000	1.00000	1.00000	1.00000	0.65644	1.00000	1.00000	
gene_158	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.90498	
gene_159	0.90226	0.94166	1.00000	1.00000	1.00000	1.00000	1.00000	0.82645	
gene_160	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_161	1.00000	1.00000	1.00000	1.00000	1.00000	0.76419	0.90323	0.90498	
gene_162	1.00000	1.00000	1.00000	1.00000	1.00000	0.82938	1.00000	1.00000	
gene_163	1.00000	1.00000	1.00000	1.00000	0.75472	1.00000	1.00000	1.00000	
