genome_id	group1	group2	group3	group4	group5	group6	group7	group8
streptococcus_11875	0	1	0	0	0	0	0	0
streptococcus_11876	0	1	0	0	0	0	0	0
streptococcus_11883	0	0	0	0	4	0	0	0
streptococcus_11884	0	0	0	0	0	5	0	0
streptococcus_11886	0	0	0	0	4	0	0	0
streptococcus_11892	0	0	0	0	0	5	0	0
streptococcus_11893	0	0	0	0	0	5	0	0
streptococcus_11897	0	1	0	0	0	0	0	0
streptococcus_11898	0	1	0	0	0	0	0	0
streptococcus_11899	0	1	0	0	0	0	0	0
streptococcus_11900	0	1	0	0	0	0	0	0
streptococcus_11902	0	0	0	3	0	0	0	0
streptococcus_11903	0	0	0	3	0	0	0	0
streptococcus_11904	0	1	0	0	0	0	0	0
streptococcus_11907	0	1	0	0	0	0	0	0
streptococcus_11908	0	0	0	0	0	5	0	0
streptococcus_11918	0	0	0	0	0	0	0	0
streptococcus_11919	0	0	0	0	4	0	0	0
streptococcus_11927	0	0	2	0	0	0	0	0
streptococcus_11929	0	0	0	0	0	0	6	0
streptococcus_11932	0	0	0	0	0	5	0	0
streptococcus_11933	0	0	2	0	0	0	0	0
streptococcus_11934	0	1	0	0	0	0	0	0
streptococcus_11935	0	0	0	0	0	5	0	0
streptococcus_11942	0	0	0	3	0	0	0	0
streptococcus_11944	0	1	0	0	0	0	0	0
streptococcus_11945	0	1	0	0	0	0	0	0
streptococcus_11946	0	1	0	0	0	0	0	0
streptococcus_11947	0	1	0	0	0	0	0	0
streptococcus_11948	0	1	0	0	0	0	0	0
streptococcus_11955	0	0	0	3	0	0	0	0
streptococcus_11956	0	0	0	3	0	0	0	0
streptococcus_11960	0	0	0	0	0	0	0	0
streptococcus_11962	0	0	0	0	0	5	0	0
streptococcus_11963	0	0	0	0	0	5	0	0
streptococcus_11964	0	0	0	0	0	5	0	0
streptococcus_11965	0	0	0	0	0	5	0	0
streptococcus_11966	0	0	0	0	0	5	0	0
streptococcus_11967	0	0	0	0	0	5	0	0
streptococcus_11968	0	0	0	0	0	5	0	0
streptococcus_11969	0	0	0	0	0	5	0	0
streptococcus_11970	0	0	0	0	0	5	0	0
streptococcus_11971	0	0	0	0	0	5	0	0
streptococcus_11972	0	0	0	0	0	5	0	0
streptococcus_11973	0	0	0	0	0	5	0	0
streptococcus_11974	0	0	0	0	0	5	0	0
streptococcus_11975	0	0	0	0	0	5	0	0
streptococcus_11976	0	0	0	0	0	5	0	0
streptococcus_11977	0	0	0	0	0	5	0	0
streptococcus_11978	0	0	0	0	0	5	0	0
streptococcus_11979	0	0	0	0	0	5	0	0
streptococcus_11980	0	0	0	0	0	5	0	0
streptococcus_11981	0	0	0	0	0	5	0	0
streptococcus_11982	0	0	0	0	0	5	0	0
streptococcus_11983	0	0	0	0	0	5	0	0
streptococcus_11984	0	0	0	0	0	5	0	0
streptococcus_11985	0	0	0	0	0	5	0	0
