Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquinone and other terpenoid-quinone biosynthesis	1/7	0.11563935777976755	1.0	0	0	8.210180623973727	17.711649552266742	COQ5
Nitrogen metabolism	1/23	0.3323198520062642	1.0	0	0	2.498750624687656	2.75276702696017	AMT
One-carbon metabolism	1/31	0.41990246349045685	1.0	0	0	1.8539117538005192	1.6087000824228062	AMT
Glycine, serine and threonine metabolism	1/32	0.43001181052341625	1.0	0	0	1.795977011494253	1.5157015164119894	AMT
Metabolism	2/1615	0.999995374299598	1.0	0	0	0.0711718444183481	3.2922039077862796E-7	AMT;COQ5
